Position,English Language Name,Number of Speakers
112,Eastern Oromo,"12,100,000"
113,Cameroon Pidgin,"12,000,000"
114,North Mesopotamian Arabic,"11,900,000"
115,Moore,"11,900,000"
116,Min Bei Chinese,"11,700,000"
117,Sylheti,"11,500,000"
118,Ibibio,"11,400,000"
119,Congo Swahili,"11,200,000"
120,Rangpuri,"10,800,000"
121,Min Dong Chinese,"10,700,000"
122,Tigrigna,"10,700,000"
123,Tajik,"10,600,000"
124,Hebrew,"10,500,000"
125,Borana-Arsi-Guji Oromo,"10,400,000"
126,North Azerbaijani,"10,400,000"
127,Gulf Arabic,"10,300,000"
128,Tsonga,"10,000,000"
129,Akan,"10,000,000"
130,Haryanvi,"9,800,000"
131,Yerwa Kanuri,"9,800,000"
132,Catalan,"9,300,000"
133,Ilocano,"8,500,000"
134,Chadian Arabic,"8,300,000"
135,Gikuyu,"8,300,000"
136,Serbian,"8,300,000"
137,Sukuma,"8,100,000"
138,Koongo,"8,000,000"
139,Bulgarian,"7,900,000"
140,Santhali,"7,900,000"
141,Kabyle,"7,900,000"
142,Marwari,"7,900,000"
143,Northern Thai,"7,800,000"
144,Umbundu,"7,800,000"
145,Turkmen,"7,800,000"
146,Madura,"7,800,000"
147,Krio,"7,800,000"
148,Merina Malagasy,"7,500,000"
149,Slovak,"7,400,000"
150,Adamawa Fulfulde,"7,400,000"
151,Central Pashto,"7,300,000"
152,Kashmiri,"7,200,000"
153,Luba-Kasai,"7,100,000"
154,Pulaar,"7,000,000"
155,Varhadi-Nagpuri,"7,000,000"
156,Indian Sign Language,"6,800,000"
157,Paraguayan Guaraní,"6,600,000"
158,Swiss German,"6,500,000"
159,Croatian,"6,500,000"
160,Hainanese,"6,400,000"
161,Hiligaynon,"6,300,000"
162,Kyrgyz,"6,100,000"
163,Libyan Arabic,"6,100,000"
164,Central Kurdish,"6,100,000"
165,Kanauji,"6,000,000"
166,Southern Kurdish,"6,000,000"
167,Tachelhit,"5,800,000"
168,Danish,"5,800,000"
169,Éwé,"5,800,000"
170,Napoletano,"5,700,000"
171,Hassaniyya,"5,600,000"
172,Bundeli,"5,600,000"
173,Finnish,"5,600,000"
174,Minangkabau,"5,600,000"
175,Norwegian,"5,500,000"
176,Malvi,"5,400,000"
177,Huizhou Chinese,"5,300,000"
178,Zarma,"5,300,000"
179,Baoulé,"5,300,000"
180,Kamba,"5,300,000"
181,Dholuo,"5,300,000"
182,Sango,"5,200,000"
183,Hadrami Arabic,"5,100,000"
184,Lambadi,"5,100,000"
185,Hazaragi,"5,100,000"
186,Sidaama,"5,000,000"
187,Ghanaian Pidgin English,"5,000,000"
188,Liberian Pidgin English,"5,000,000"
189,Tiv,"5,000,000"
190,Pular,"4,900,000"
191,Gheg Albanian,"4,900,000"
192,Tatar,"4,800,000"
193,Awadhi,"4,800,000"
194,Swati,"4,700,000"
195,Sicilian,"4,700,000"
196,Southern Uzbek,"4,700,000"
197,Shan,"4,700,000"
198,Luba-Katanga,"4,700,000"
199,Lao,"4,700,000"
200,Southern Thai,"4,500,000"
