glottocode,language_name,lang_family,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
shom1245,Shom Peng,,0.0,,3,,1,threatened,1,2694.73780859961,2694.73780859961,64.9434967,64.9434967,35.3788972368389,35.3788972368389,1.77423382325139,1.77423382325139,0,0,0,0,0,0,0,1,0,0,0
bira1253,Ongota,,0.0,5,5,,5,critically endangered,1,1133.88279681719,1133.88279681719,21.94129944,21.94129944,23.6222839355469,23.6222839355469,4.99846973014755,4.99846973014755,0,0,0,0,0,1,0,0,0,0,0
yele1255,Yele,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
pele1245,Pele-Ata,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
iton1250,Itonama,,0.0,,5,,5,critically endangered,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
usku1243,Usku,,0.0,,3,,1,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
lavu1241,Lavukaleve,,0.0,2,2,1,1,threatened,1,1933.55538435227,1933.55538435227,29.04070091,29.04070091,30.6617188562194,30.6617188562194,4.52267698306251,4.52267698306251,0,0,0,0,0,0,0,0,0,1,0
molo1262,Molof,,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
wara1303,Warao,,0.0,,1,,,vulnerable,3,29675.2443873316,13618.208324460256,87.4,82.35990092,89.285859883201,60.5092545306155,0.889793534914993,0.6393969407346387,0,0,0,0,0,0,0,0,0,0,1
saus1247,Sause,,0.0,,3,3,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kimk1238,Kimki,,0.0,1,3,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
fasu1242,Fasu,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
buru1296,Burushaski,,0.0,,0,4,2,threatened,2,2694.73780859961,2086.755294189785,64.9434967,61.09824835,39.1734368360905,37.2761670364647,2.41802539576733,2.09612960950936,0,0,0,0,0,0,0,1,0,0,0
cofa1242,Cofán,,0.0,2,2,1,0,vulnerable,2,7919.20886825345,7396.957304009726,79.34543299,78.25908207,78.5210811866115,70.87938721318585,1.3876355674663,1.2087038887622,0,0,0,0,0,0,0,0,0,0,1
iran1263,Irántxe-Münkü,,0.0,,3,,,severely endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
chit1248,Chitimacha,,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
wage1238,Wageman,,0.0,,4,4,,severely endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
lara1258,Laragia,,0.0,,5,5,5,critically endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
mawe1251,Mawes,,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
mass1263,Massep,,0.0,,4,,,severely endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
wiru1244,Wiru,,0.0,,1,,,vulnerable,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
wadj1254,Wadjiginy,,0.0,,4,,,severely endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
puin1248,Puinave,,0.0,,2,,,threatened,2,7919.20886825345,6068.39994734368,79.34543299,78.01216733000001,89.285859883201,83.90347053490625,1.3876355674663,0.8987269869421874,0,0,0,0,0,0,0,0,0,0,1
dibi1240,Dibiyaso,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
sulk1246,Sulka,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
pyuu1245,Pyu,,0.0,,4,,2,endangered,2,4925.43048751861,3966.06806615392,72.78075544,45.796177584999995,58.7509635387997,37.0785725895665,4.06785501758394,2.9825253486044603,0,0,0,0,0,0,0,0,0,1,0
yale1246,Yale,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
seri1257,Seri,,0.0,1,3,,1,threatened,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
cams1241,Camsá,,0.0,,2,,,threatened,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
cent2045,Jalaa,,0.0,,4,,5,critically endangered,1,1084.16041805436,1084.16041805436,41.21139908,41.21139908,62.9755675573659,62.9755675573659,3.3628832591496,3.3628832591496,0,0,0,0,0,1,0,0,0,0,0
pira1253,Pirahã,,0.0,,3,,0,vulnerable,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
boga1247,Bogaya,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
sand1273,Sandawe,,0.0,,1,,,vulnerable,1,1186.71691894531,1186.71691894531,31.16209984,31.16209984,36.1684458862992,36.1684458862992,4.8107084931504,4.8107084931504,0,0,0,0,0,1,0,0,0,0,0
leco1242,Leco,,0.0,,,,,dormant,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
pume1238,Pumé,,0.0,,2,,,threatened,2,7919.20886825345,6068.39994734368,79.34543299,78.01216733000001,89.285859883201,83.90347053490625,1.3876355674663,0.8987269869421874,0,0,0,0,0,0,0,0,0,0,1
savo1255,Savosavo,,0.0,2,2,,,threatened,1,1933.55538435227,1933.55538435227,29.04070091,29.04070091,30.6617188562194,30.6617188562194,4.52267698306251,4.52267698306251,0,0,0,0,0,0,0,0,0,1,0
tiwi1244,Tiwi,,0.0,,2,,,threatened,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
gaga1251,Gaagudju,,0.0,,,,,dormant,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
sius1254,Siuslaw,,0.0,,,,,dormant,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
umbu1235,Umbugarla,,0.0,,,,,dormant,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
taus1253,Taushiro,,0.0,,5,,,critically endangered,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
urar1246,Urarina,,0.0,,2,,,threatened,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
wash1253,Washo,,0.0,,4,,,severely endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
pura1257,Purari,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
tini1245,Tinigua,,0.0,,5,,,critically endangered,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
aika1237,Aikanã,,0.0,,3,0,0,vulnerable,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
yera1243,Yerakai,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
laal1242,Laal,,0.0,,3,,,endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
else1239,Elseng,,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
tana1288,Tanahmerah,,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kuja1239,Kujarge,,0.0,,3,,,endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
abun1252,Abun,,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
cand1248,Candoshi-Shapra,,0.0,,2,0,0,threatened,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
momu1241,Momuna,,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kano1245,Kanoê,,0.0,,5,,,critically endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
yuwa1244,Hoti,,0.0,,3,,,endangered,1,4217.59102643391,4217.59102643391,76.67890167,76.67890167,89.285859883201,89.285859883201,0.409818406418075,0.409818406418075,0,0,0,0,0,0,0,0,0,0,1
papi1255,Papi,,0.0,,4,,,severely endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
morb1239,Mor (Bomberai Peninsula),,0.0,,4,4,,severely endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
moro1289,Marori,,0.0,4,3,4,2,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
bilu1245,Bilua,,0.0,,2,,,threatened,2,3006.70564478923,2470.13051457075,29.04070091,23.92615032,30.6617188562194,23.03395024827635,4.52267698306251,4.295266000323226,0,0,0,0,0,0,0,0,0,1,0
kibi1239,Kibiri,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
bang1363,Bangime,,0.0,,2,,,threatened,1,1094.61949265799,1094.61949265799,36.80149841,36.80149841,31.6075621182225,31.6075621182225,4.87178721321357,4.87178721321357,1,0,0,0,0,1,0,0,0,0,0
kolp1236,Kol (Papua New Guinea),,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
waor1240,Waorani,,0.0,,2,,,threatened,1,6874.705739766,6874.705739766,77.17273115,77.17273115,63.2376932397602,63.2376932397602,1.0297722100581,1.0297722100581,0,0,0,0,0,0,0,0,0,0,1
kute1249,Kutenai,,0.0,,4,5,5,critically endangered,2,84534.0407841548,69437.19425331405,94.69380188,94.52355194,82.7002565766633,81.41251819069086,3.17427570128175,2.108569584680295,0,0,0,0,0,0,0,0,1,0,0
kung1259,Kungarakany,,0.0,,,,,dormant,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
burm1264,Burmeso,,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
anem1249,Anem,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
touo1238,Touo,,0.0,,2,,,threatened,2,3006.70564478923,2470.13051457075,29.04070091,23.92615032,30.6617188562194,23.03395024827635,4.52267698306251,4.295266000323226,0,0,0,0,0,0,0,0,0,1,0
kaki1249,Kaki Ae,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
karo1304,Karuk,,0.0,,4,,,severely endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
kapo1250,Kapori,,0.0,,3,,0,vulnerable,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
taru1236,Taruma,,0.0,,5,5,5,critically endangered,2,29675.2443873316,19992.8966325741,84.46347227,83.73213668,87.8958549533146,57.1867864709358,0.724401697459186,0.671490289165017,0,0,0,0,0,0,0,0,0,0,1
suar1238,Asabano,,0.0,,3,,1,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
abin1243,Abinomn,,0.0,,4,5,,critically endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
niha1238,Nihali,,0.0,,2,,,threatened,1,2694.73780859961,2694.73780859961,64.9434967,64.9434967,35.3788972368389,35.3788972368389,1.77423382325139,1.77423382325139,0,0,0,0,0,0,0,1,0,0,0
hrus1242,Hruso,,0.0,,2,,,threatened,1,2694.73780859961,2694.73780859961,64.9434967,64.9434967,35.3788972368389,35.3788972368389,1.77423382325139,1.77423382325139,0,0,0,0,0,0,0,1,0,0,0
zuni1245,Zuni,,0.0,,2,,2,threatened,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
hadz1240,Hadza,,0.0,,3,1,,threatened,1,1186.71691894531,1186.71691894531,31.16209984,31.16209984,36.1684458862992,36.1684458862992,4.8107084931504,4.8107084931504,0,0,0,0,0,1,0,0,0,0,0
puel1244,Puelche,,0.0,,,,,dormant,1,13969.7836603737,13969.7836603737,89.66715228,89.66715228,92.2742315972952,92.2742315972952,0.432261342079918,0.432261342079918,0,0,0,0,0,0,0,0,0,0,1
kuot1243,Kuot,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
mose1249,Mosetén-Chimané,,0.0,,2,0,0,vulnerable,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
shab1252,Shabo,,0.0,4,3,,3,severely endangered,1,1133.88279681719,1133.88279681719,21.94129944,21.94129944,23.6222839355469,23.6222839355469,4.99846973014755,4.99846973014755,0,0,0,0,0,1,0,0,0,0,0
natc1249,Natchez,,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
fuln1247,Fulniô,,0.0,,2,,,threatened,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
yuch1247,Yuchi,,0.0,,5,5,5,critically endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
mpur1239,Mpur,,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
odia1239,Odiai,,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
demm1245,Dem,,0.0,,2,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kehu1238,Kehu,,0.0,,4,,,severely endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kwaz1243,Kwaza,,0.0,,4,,,severely endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
sape1238,Sapé,,0.0,5,5,5,5,critically endangered,1,4217.59102643391,4217.59102643391,76.67890167,76.67890167,89.285859883201,89.285859883201,0.409818406418075,0.409818406418075,0,0,0,0,0,0,0,0,0,0,1
yura1255,Yuracaré,,0.0,,2,,,threatened,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
guat1253,Guató,,0.0,,5,5,5,critically endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
abis1238,Aewa,,0.0,,,,,dormant,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
mato1253,Mato Grosso Arára,,0.0,,,,,dormant,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
tabo1241,Tabo,,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
trum1247,Trumai,,0.0,,4,5,5,critically endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
paez1247,Páez,,0.0,,1,,,vulnerable,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
cani1243,Canichana,,0.0,,,,,dormant,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
cree1270,Creek,Muskogean,7.0,,2,5,4,severely endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
mika1239,Mikasuki,Muskogean,7.0,,2,,,threatened,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
koas1236,Koasati,Muskogean,7.0,,3,,4,severely endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
alab1237,Alabama,Muskogean,7.0,,3,,,endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
choc1276,Choctaw,Muskogean,7.0,,1,,,vulnerable,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
chic1270,Chickasaw,Muskogean,7.0,5,4,,5,critically endangered,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
mass1262,Massalat,Maban,10.0,,4,,,severely endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
kend1253,Kendeje,Maban,10.0,3,2,,,endangered,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
kara1484,Karanga,Maban,10.0,,2,,,threatened,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
bora1263,Bora,Boran,2.0,,2,,4,severely endangered,3,10310.5488778166,8894.043138878753,84.46347227,81.92198839333334,87.8958549533146,83.86940303332052,1.57651042813743,1.2295158976876388,0,0,0,0,0,0,0,0,0,0,1
