official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
Adzera,Vulnerable,28900,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aer,Endangered,200,Pakistan,0,0,0,0,0,1,38.04,27.4
Afra,Threatened,115,Indonesia,0,0,0,0,0,1,58.572,69.2
Aftari,Endangered,500,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
Agavotaguerra,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Aghu-Tharnggala,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Aghul,Threatened,18000,Russian Federation,0,0,0,0,0,2,75.331,92.2
Aghul,Threatened,18000,Azerbaijan,0,0,0,0,0,2,75.331,92.2
Agi,Endangered,670,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aguaruna,Vulnerable,55000,Peru,0,0,0,0,0,1,78.922,79.5
Aguna,Threatened,3470,Benin,0,0,0,0,0,1,50.1,32.2
Agwamin,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Ahamb,Endangered,968,Vanuatu,0,0,0,0,0,1,25.976,45.7
Àhàn,Endangered,300,Nigeria,0,0,0,0,0,1,54.283,39.2
Ahtna,Critically Endangered,30,United States,0,0,0,0,0,1,83.298,93.1
Aikanã,Vulnerable,200,Brazil,0,0,0,0,0,1,87.788,84.2
Aiku,Endangered,819,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aimele,Endangered,140,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ainbai,Endangered,110,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ainu (China),Threatened,12000,China,0,0,0,0,0,1,64.57,77.5
Ainu (Japan),Critically Endangered,2,Japan,0,0,0,0,0,1,92.043,87.0
Aiome,Endangered,620,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aisi,Endangered,250,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Äiwoo,Vulnerable,7926,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Ajumbu,Endangered,300,Cameroon,0,0,0,0,0,1,59.315,41.9
Ak,Severely Endangered,80,Papua New Guinea,2,5,11,2,2,1,13.723,24.1
Akateko,Threatened,5572,Guatemala,0,0,0,0,0,2,81.582,81.2
Akateko,Threatened,5572,Mexico,0,0,0,0,0,2,81.582,81.2
Ake,Vulnerable,2000,Nigeria,0,0,0,0,0,1,54.283,39.2
Akeu,Threatened,5000,China,0,0,0,0,0,3,64.57,89.5
Akeu,Threatened,5000,Myanmar,0,0,0,0,0,3,64.57,89.5
Akeu,Threatened,5000,Thailand,0,0,0,0,0,3,64.57,89.5
Akhvakh,Threatened,5000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Akkala Saami,Critically Endangered,1,Russian Federation,0,0,0,0,0,1,75.331,92.2
Akoye,Endangered,800,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Akum,Endangered,600,Nigeria,0,0,0,0,0,2,59.315,41.9
Akum,Endangered,600,Cameroon,0,0,0,0,0,2,59.315,41.9
Akuntsú,Critically Endangered,3,Brazil,0,0,0,0,0,1,87.788,84.2
Al-Sayyid Bedouin Sign Language,Endangered,150,Israel,0,0,0,0,0,1,92.854,87.0
Alabama,Endangered,300,United States,0,0,0,0,0,1,83.298,93.1
Alabugat Tatar,Threatened,400,Russian Federation,0,0,0,0,0,1,75.331,92.2
Alago,Vulnerable,15000,Nigeria,0,0,0,0,0,1,54.283,39.2
Alagwa,Threatened,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
Alamblak,Threatened,1200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Alawa,Critically Endangered,17,Australia,0,0,0,0,0,1,86.617,97.1
Albarradas Zapotec,Threatened,5500,Mexico,0,0,0,0,0,1,81.582,81.2
Alekano,Vulnerable,25000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aleut,Endangered,100,Russian Federation,0,0,0,0,0,2,83.298,93.1
Aleut,Endangered,100,United States,0,0,0,0,0,2,83.298,93.1
Alfendio,Endangered,633,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Algherese Catalan,Vulnerable,30000,Italy,0,0,0,0,0,1,71.973,87.0
Alngith,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Alto Marañón Quechua,Vulnerable,83400,Peru,0,0,0,0,0,1,78.922,79.5
Alu,Threatened,1880,Papua New Guinea,1,1,1,1,0,1,13.723,24.1
Alune,Vulnerable,12000,Indonesia,0,0,0,0,0,1,58.572,69.2
Aluo,Endangered,40000,China,0,0,0,0,0,1,64.57,77.5
Alutiiq,Severely Endangered,200,United States,0,0,0,0,0,1,83.298,93.1
Alutor,Severely Endangered,2000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Alyawarr,Vulnerable,1664,Australia,0,0,0,0,0,1,86.617,97.1
Ama,Vulnerable,450,Papua New Guinea,3,2,1,4,0,1,13.723,24.1
Amahai,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
Amal,Endangered,388,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amami,Severely Endangered,37000,Japan,0,0,0,0,0,1,92.043,87.0
Amanab,Threatened,3500,Indonesia,0,0,0,0,0,2,58.572,69.2
Amanab,Threatened,3500,Papua New Guinea,0,0,0,0,0,2,58.572,69.2
Amara,Endangered,231,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amarasi,Vulnerable,70000,Indonesia,0,0,0,0,0,1,58.572,69.2
Ambakich,Endangered,770,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ambele,Vulnerable,3600,Cameroon,0,0,0,0,0,1,59.315,41.9
Ambulas,Vulnerable,33000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ampari,Threatened,5200,Mali,0,0,0,0,0,1,46.189,35.1
Ampibabo,Threatened,6000,Indonesia,0,0,0,0,0,1,58.572,69.2
Amto,Endangered,230,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amur Nivkh,Severely Endangered,500,Russian Federation,0,0,0,0,0,1,75.331,92.2
Amurdak,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
Anaang,Vulnerable,733040,Nigeria,0,0,0,0,0,1,54.283,39.2
Anakalangu,Vulnerable,25000,Indonesia,0,0,0,0,0,1,58.572,69.2
Anam,Threatened,1070,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Andajin,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Andarum,Endangered,830,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ande,Endangered,500,Vanuatu,0,2,1,1,0,1,25.976,45.7
Andi,Vulnerable,20000,Russian Federation,2,0,0,1,1,1,75.331,92.2
Andio,Threatened,1700,Indonesia,0,0,0,0,0,1,58.572,69.2
Anejom̃,Endangered,900,Vanuatu,0,0,0,0,0,1,25.976,45.7
Anem,Endangered,843,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Angaité,Severely Endangered,780,Paraguay,0,0,0,0,0,1,63.149,78.1
Angor,Threatened,1250,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Angoram,Threatened,6514,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Anii,Vulnerable,25000,Togo,0,0,0,0,0,2,50.1,37.0
Anii,Vulnerable,25000,Benin,0,0,0,0,0,2,50.1,37.0
Animere,Severely Endangered,30,Ghana,0,0,0,0,0,1,59.238,69.9
Anindilyakwa,Threatened,1500,Australia,0,0,0,0,0,1,86.617,97.1
Anmatyerre,Threatened,1000,Australia,0,0,0,0,0,1,86.617,97.1
Anong,Critically Endangered,4040,China,0,0,0,0,0,2,64.57,77.5
Anong,Critically Endangered,4040,Myanmar,0,0,0,0,0,2,64.57,77.5
Anor,Endangered,450,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Antakirinya,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
Antekerrepenh,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Anuki,Threatened,574,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Anus,Endangered,320,Indonesia,0,0,0,0,0,1,58.572,69.2
Anuta,Endangered,340,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Aore,Extinct,0,Vanuatu,0,0,0,0,0,1,25.976,45.7
Ap Ma,Threatened,6500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Apalaí,Endangered,317,Brazil,0,0,0,0,0,1,87.788,84.2
Apuriná,Endangered,400,Brazil,0,0,0,0,0,1,87.788,84.2
Aputai,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
Arabana-Wangkangurru,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Arabela,Critically Endangered,30,Peru,0,0,0,0,0,1,78.922,79.5
Aragonese,Endangered,10000,Spain,0,0,1,0,0,1,81.552,95.4
Araki,Critically Endangered,15,Vanuatu,0,0,0,0,0,1,25.976,45.7
Arapaho,Severely Endangered,1000,United States,0,0,0,0,0,1,83.298,93.1
Arapaso,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Araweté,Endangered,339,Brazil,0,0,0,0,0,1,87.788,84.2
Arawum,Severely Endangered,73,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Arbëreshë,Vulnerable,100000,Italy,0,0,0,0,0,1,71.973,87.0
Archi,Threatened,1237,Russian Federation,0,0,0,0,0,1,75.331,92.2
Arem,Critically Endangered,100,Viet Nam,0,0,0,0,0,2,39.48,78.1
Arem,Critically Endangered,100,Lao PDR,0,0,0,0,0,2,39.48,78.1
Arguni,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
Ari,Severely Endangered,50,Papua New Guinea,7,3,8,5,1,1,13.723,24.1
Ariba,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Arifama-Miniafia,Threatened,3470,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Arikapú,Critically Endangered,1,Brazil,0,0,0,0,0,1,87.788,84.2
Arikara,Critically Endangered,10,United States,0,0,0,0,0,1,83.298,93.1
Aromanian,Threatened,350000,Bulgaria,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Romania,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Greece,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Macedonia,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Albania,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Bosnia and Herzegovina,0,0,1,0,0,7,80.673,89.2
Aromanian,Threatened,350000,Serbia,0,0,1,0,0,7,80.673,89.2
Arta,Critically Endangered,11,Philippines,0,0,0,0,0,1,48.287,83.8
Aru,Endangered,270,Papua New Guinea,1,1,1,1,0,1,13.723,24.1
Aruá,Critically Endangered,5,Brazil,0,0,0,0,0,1,87.788,84.2
Aruamu,Threatened,5350,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aruek,Endangered,614,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aruop,Endangered,700,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Arutani,Critically Endangered,1,Brazil,0,0,0,0,0,2,88.438,84.2
Arutani,Critically Endangered,1,"Venezuela, RB",0,0,0,0,0,2,88.438,84.2
Arvanitika,Vulnerable,50000,Greece,0,0,0,0,0,1,80.673,85.0
As,Critically Endangered,6,Indonesia,7,8,7,3,2,1,58.572,69.2
Asaba,Threatened,145,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ashkun,Threatened,7000,Afghanistan,0,0,0,0,0,1,26.933,17.7
Ashtiani,Vulnerable,21100,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
Assangori,Vulnerable,23500,Sudan,0,0,0,0,0,2,36.342,13.2
Assangori,Vulnerable,23500,Chad,0,0,0,0,0,2,36.342,13.2
Assiniboine,Endangered,150,United States,0,0,0,0,0,2,83.298,94.0
Assiniboine,Endangered,150,Canada,0,0,0,0,0,2,83.298,94.0
Asturian,At risk,110000,Spain,0,0,0,0,0,2,81.552,95.4
Asturian,At risk,110000,Portugal,0,0,0,0,0,2,81.552,95.4
Asumboa,Severely Endangered,10,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Asunción Mixtepec Zapotec,Severely Endangered,100,Mexico,0,0,0,0,0,1,81.582,81.2
Asuriní do Tocantins,Endangered,384,Brazil,0,0,0,0,0,1,87.788,84.2
Ata,Critically Endangered,4,Philippines,1,3,4,0,1,1,48.287,83.8
Atampaya,Critically Endangered,4,Australia,0,0,0,0,0,1,86.617,97.1
Athpariya,Threatened,3658,Nepal,0,0,0,0,0,1,21.903,55.8
Ati (Philippines),Endangered,1500,Philippines,0,0,0,0,0,1,48.287,83.8
Ati (Vanuatu),Severely Endangered,85,Vanuatu,0,0,0,0,0,1,25.976,45.7
Atin,Endangered,120,Vanuatu,1,0,0,0,0,1,25.976,45.7
Atong (Cameroon),Vulnerable,4200,Cameroon,0,0,0,0,0,1,59.315,41.9
Atsugewi,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
Attikamek,Vulnerable,3000,Canada,0,0,0,0,0,1,81.862,94.0
Au,Threatened,4200,Papua New Guinea,6,3,0,1,2,1,13.723,24.1
Aulua,Endangered,750,Vanuatu,0,0,0,0,0,1,25.976,45.7
Auré,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Australian Sign Language,Threatened,6500,Australia,0,0,0,0,0,1,86.617,97.1
Auvergnat,Threatened,150000,France,0,0,0,0,0,1,81.777,86.8
Auwe,Endangered,270,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Auye,Endangered,350,Indonesia,0,0,0,0,0,1,58.572,69.2
Avá,Severely Endangered,16,Brazil,0,0,0,0,0,1,87.788,84.2
Avava,Vulnerable,700,Vanuatu,0,0,0,0,0,1,25.976,45.7
Aveteian,Severely Endangered,50,Vanuatu,0,0,0,0,0,1,25.976,45.7
Avok,Endangered,500,Vanuatu,0,0,0,0,0,1,25.976,45.7
Awa Pit,Vulnerable,17464,Colombia,0,0,0,0,0,2,82.354,77.3
Awa Pit,Vulnerable,17464,Ecuador,0,0,0,0,0,2,82.354,77.3
Awakateko,Vulnerable,16272,Guatemala,0,0,0,0,0,1,53.098,56.1
Awar,Severely Endangered,1153,Papua New Guinea,1,0,0,0,0,1,13.723,24.1
Awbono,Vulnerable,100,Indonesia,0,0,0,0,0,1,58.572,69.2
Aweer,Endangered,200,Kenya,0,0,0,0,0,2,47.92,35.0
Aweer,Endangered,200,Somalia,0,0,0,0,0,2,47.92,35.0
Awera,Endangered,100,Indonesia,0,0,0,0,0,1,58.572,69.2
Awetí,Endangered,225,Brazil,0,0,0,0,0,1,87.788,84.2
Awiakay,Threatened,300,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Awjilah,Threatened,2000,Libya,0,0,0,0,0,1,81.606,88.5
Awngthim,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Awtuw,Endangered,400,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Awu Laya,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Awun,Endangered,384,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Awyi,Endangered,400,Indonesia,0,0,0,0,0,1,58.572,69.2
Ayacucho Quechua,At risk,850000,Peru,0,0,0,0,0,1,78.922,79.5
Ayapanec Zoque,Critically Endangered,3,Mexico,0,0,0,0,0,1,81.582,81.2
Ayapathu,Critically Endangered,6,Australia,0,0,0,0,0,1,86.617,97.1
Ayerreyenge,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Ayi,Endangered,430,Papua New Guinea,0,1,0,0,0,1,13.723,24.1
Ayoquezco,Endangered,880,Mexico,0,0,0,0,0,1,81.582,81.2
Ayu,Severely Endangered,200,Nigeria,2,0,0,0,0,1,54.283,39.2
Baan,Threatened,5000,Nigeria,0,0,0,0,0,1,54.283,39.2
Baba Malay,Critically Endangered,2000,Malaysia,0,0,0,0,0,2,100.0,97.7
Baba Malay,Critically Endangered,2000,Singapore,0,0,0,0,0,2,100.0,97.7
Babalia Creole Arabic,Threatened,3940,Chad,0,0,0,0,0,1,24.366,13.2
Babanki,Endangered,20000,Cameroon,0,0,0,0,0,1,59.315,41.9
Bade,At risk,250000,Nigeria,0,0,0,0,0,1,54.283,39.2
Bädi Kanum,Severely Endangered,10,Indonesia,0,0,0,0,0,1,58.572,69.2
Badimaya,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Badjiri,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Badyara,Vulnerable,12000,Senegal,0,0,0,0,0,3,49.579,60.6
Badyara,Vulnerable,12000,Guinea,0,0,0,0,0,3,49.579,60.6
Badyara,Vulnerable,12000,Guinea-Bissau,0,0,0,0,0,3,49.579,60.6
Baga Binari,Threatened,3000,Guinea,0,0,0,0,0,1,38.085,26.5
Baga Koga,Threatened,5000,Guinea,0,0,0,0,0,1,38.085,26.5
Baga Manduri,Threatened,4000,Guinea,0,0,0,0,0,1,38.085,26.5
Baga Mboteni,Threatened,4900,Guinea,0,0,0,0,0,1,38.085,26.5
Baga Sitemu,Threatened,4000,Guinea,0,0,0,0,0,1,38.085,26.5
Bago-Kusuntu,Threatened,7500,Togo,0,0,0,0,0,1,44.49,37.0
Bagupi,Endangered,58,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Bagvalal,Threatened,6000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Bahinemo,Vulnerable,700,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Bahonsuai,Endangered,180,Indonesia,0,0,0,0,0,1,58.572,69.2
Baibai,Endangered,271,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Baicoca-Siecoca,Threatened,1174,Peru,0,0,0,0,0,3,82.354,79.5
Baicoca-Siecoca,Threatened,1174,Colombia,0,0,0,0,0,3,82.354,79.5
Baicoca-Siecoca,Threatened,1174,Ecuador,0,0,0,0,0,3,82.354,79.5
Baikeno,Vulnerable,20000,Timor-Leste,0,0,0,0,0,1,32.456,34.0
Baima,Threatened,10000,China,0,0,0,0,0,1,64.57,77.5
Bainouk-Gunyaamolo,Threatened,6000,Senegal,0,0,0,0,0,2,49.579,60.6
Bainouk-Gunyaamolo,Threatened,6000,Gambia,0,0,0,0,0,2,49.579,60.6
Bainouk-Samik,Threatened,1850,Senegal,0,0,0,0,0,1,49.579,60.6
Baïnounk Gubëeher,Threatened,1100,Senegal,0,0,0,0,0,1,49.579,60.6
Bajelani,Vulnerable,20000,"Iran, Islamic Rep.",0,0,0,0,0,2,77.257,81.7
Bajelani,Vulnerable,20000,Iraq,0,0,0,0,0,2,77.257,81.7
"Baka (East Region, Cameroon)",Vulnerable,50000,Gabon,0,0,0,0,0,2,91.029,71.9
"Baka (East Region, Cameroon)",Vulnerable,50000,Cameroon,0,0,0,0,0,2,91.029,71.9
"Baka (Far North Region, Cameroon)",Severely Endangered,140,Cameroon,0,0,0,0,0,1,59.315,41.9
Bakairí,Endangered,900,Brazil,0,0,0,0,0,1,87.788,84.2
Baki,Endangered,150,Vanuatu,0,0,0,0,0,1,25.976,45.7
Bakole,Endangered,300,Cameroon,0,0,0,0,0,1,59.315,41.9
Bakpinka,Threatened,3416,Nigeria,0,0,0,0,0,1,54.283,39.2
Balaesang,Threatened,3200,Indonesia,0,0,0,0,0,1,58.572,69.2
Baldemu,Critically Endangered,3,Cameroon,0,0,0,0,0,1,59.315,41.9
Bali,Threatened,1000,Nigeria,0,0,0,0,0,1,54.283,39.2
Balkan Gagauz Turkish,Threatened,331000,Turkey,0,0,0,0,0,3,76.701,80.4
Balkan Gagauz Turkish,Threatened,331000,Bulgaria,0,0,0,0,0,3,76.701,80.4
Balkan Gagauz Turkish,Threatened,331000,Macedonia,0,0,0,0,0,3,76.701,80.4
Balkan Romani,At risk,611800,Turkey,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Germany,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Russian Federation,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Ukraine,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Bulgaria,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Romania,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Lithuania,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,France,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,"Iran, Islamic Rep.",0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Italy,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Greece,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Macedonia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Moldova,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,United Kingdom,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Poland,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Czech Republic,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Netherlands,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Switzerland,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Finland,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Austria,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Croatia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Latvia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Slovakia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Hungary,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Albania,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Belarus,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Bosnia and Herzegovina,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Slovenia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Serbia,0,0,0,0,0,30,93.179,97.3
Balkan Romani,At risk,611800,Montenegro,0,0,0,0,0,30,93.179,97.3
Balti,At risk,270000,Pakistan,0,0,0,0,0,2,38.04,27.4
Balti,At risk,270000,India,0,0,0,0,0,2,38.04,27.4
Baltic Romani,Vulnerable,58460,Turkey,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Germany,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Russian Federation,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Ukraine,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Bulgaria,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Romania,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Lithuania,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,France,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Italy,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Greece,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Macedonia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,United Kingdom,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Poland,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Czech Republic,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Netherlands,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Switzerland,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Finland,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Austria,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Croatia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Latvia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Slovakia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Hungary,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Albania,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Belarus,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Bosnia and Herzegovina,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Slovenia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Serbia,0,0,0,0,0,28,93.179,97.3
Baltic Romani,Vulnerable,58460,Montenegro,0,0,0,0,0,28,93.179,97.3
Ban Khor Sign Language,Endangered,400,Thailand,0,0,0,0,0,1,53.608,89.5
Bana,Vulnerable,23000,Cameroon,0,1,0,0,0,1,59.315,41.9
Banaro,Threatened,2569,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Banawá,Endangered,100,Brazil,0,0,0,0,0,1,87.788,84.2
